method;K;iterations;repetition;T;score
BTM_S;30;1000;2;15;-117.77811397944406
BTM_S;30;1000;2;20;-213.7277985766054
BTM_S;30;1000;3;5;-10.308302994475033
BTM_S;30;1000;3;10;-46.942279037045594
BTM_S;30;1000;3;15;-110.42162308608201
BTM_S;30;1000;3;20;-195.74984925191904
BTM_S;30;1000;4;5;-10.419760814682464
BTM_S;30;1000;4;10;-46.295224854174926
BTM_S;30;1000;4;15;-111.0699621936118
BTM_S;30;1000;4;20;-201.24927564061784
BTM_S;30;1000;5;5;-10.967559615547156
BTM_S;30;1000;5;10;-48.068176148432876
BTM_S;30;1000;5;15;-110.49807711069464
BTM_S;30;1000;5;20;-201.6922410112261
BTM_S;30;1000;6;5;-12.510547746826253
BTM_S;30;1000;6;10;-53.08708115297265
BTM_S;30;1000;6;15;-117.54159417841434
BTM_S;30;1000;6;20;-206.2933201164687
BTM_S;30;1000;7;5;-10.690136744339151
BTM_S;30;1000;7;10;-46.33147034252063
BTM_S;30;1000;7;15;-99.39062268790741
BTM_S;30;1000;7;20;-186.95232449407996
BTM_S;30;1000;8;5;-10.535360609695752
BTM_S;30;1000;8;10;-46.230126273673
BTM_S;30;1000;8;15;-105.39282122217688
BTM_S;30;1000;8;20;-183.39296181985364
BTM_S;30;1000;9;5;-9.293982060972363
BTM_S;30;1000;9;10;-41.98438365674874
BTM_S;30;1000;9;15;-101.5991837955521
BTM_S;30;1000;9;20;-188.66282473198274
BTM_S;40;1000;0;5;-11.617253777041828
BTM_S;40;1000;0;10;-49.57629190161051
BTM_S;40;1000;0;15;-110.46478808697722
BTM_S;40;1000;0;20;-194.07013814378715
BTM_S;40;1000;1;5;-11.569973230715407
BTM_S;40;1000;1;10;-50.140928168307774
BTM_S;40;1000;1;15;-116.55753462245528
BTM_S;40;1000;1;20;-210.6192670946147
BTM_S;40;1000;2;5;-12.170805919471771
BTM_S;40;1000;2;10;-50.15067422286795
BTM_S;40;1000;2;15;-111.8058909845222
BTM_S;40;1000;2;20;-203.62952908450623
BTM_S;40;1000;3;5;-11.114400067087065
BTM_S;40;1000;3;10;-52.20766464618622
BTM_S;40;1000;3;15;-120.7254418202657
BTM_S;40;1000;3;20;-216.9709791517982
BTM_S;40;1000;4;5;-10.630267065985727
BTM_S;40;1000;4;10;-49.640263514845635
BTM_S;40;1000;4;15;-113.18413861503942
BTM_S;40;1000;4;20;-205.9439171161477
BTM_S;40;1000;5;5;-8.802061196885159
BTM_S;40;1000;5;10;-40.19735369476077
BTM_S;40;1000;5;15;-92.93444785981046
BTM_S;40;1000;5;20;-170.54370082640895
BTM_S;40;1000;6;5;-11.451790724007262
BTM_S;40;1000;6;10;-48.39298569100725
BTM_S;40;1000;6;15;-112.06563635791409
BTM_S;40;1000;6;20;-203.38257124421426
BTM_S;40;1000;7;5;-10.491642747649518
BTM_S;40;1000;7;10;-44.904635552959505
BTM_S;40;1000;7;15;-106.25249493936947
BTM_S;40;1000;7;20;-193.2852936989539
BTM_S;40;1000;8;5;-10.642085236064489
BTM_S;40;1000;8;10;-48.88681457050777
BTM_S;40;1000;8;15;-115.58420488525428
BTM_S;40;1000;8;20;-213.40024671057895
BTM_S;40;1000;9;5;-10.12369815562845
BTM_S;40;1000;9;10;-50.08410580064311
BTM_S;40;1000;9;15;-115.66409709240573
BTM_S;40;1000;9;20;-212.2161439819833
BTM_S;50;1000;0;5;-11.92137813853045
BTM_S;50;1000;0;10;-53.22528582038413
BTM_S;50;1000;0;15;-121.63166398642181
BTM_S;50;1000;0;20;-219.0400982073964
BTM_S;50;1000;1;5;-11.366263006308037
BTM_S;50;1000;1;10;-48.64378208881257
BTM_S;50;1000;1;15;-118.10250820969982
BTM_S;50;1000;1;20;-220.2504412856785
BTM_S;50;1000;2;5;-11.865340666758827
BTM_S;50;1000;2;10;-51.66794555742061
BTM_S;50;1000;2;15;-115.1361959721937
BTM_S;50;1000;2;20;-202.12943051160727
BTM_S;50;1000;3;5;-10.716110370565882
BTM_S;50;1000;3;10;-46.23677397727263
BTM_S;50;1000;3;15;-107.81715980362708
BTM_S;50;1000;3;20;-200.09134903975323
